rxn	name	ec	pathway	pathway.name	subsystem	gapseq
RXN-10457	jasmonoyl-valine synthetase	""	|PWY-6233|	jasmonoyl-amino acid conjugates biosynthesis II	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,HORMONE-SYN,Plant-Hormone-Biosynthesis,Jasmonates-Biosynthesis	""
RXN-10459	jasmonoyl-leucine synthetase	""	|PWY-6233|	jasmonoyl-amino acid conjugates biosynthesis II	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,HORMONE-SYN,Plant-Hormone-Biosynthesis,Jasmonates-Biosynthesis	""
RXN-10449	RXN-10449	""	|PWY-6233|	jasmonoyl-amino acid conjugates biosynthesis II	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,HORMONE-SYN,Plant-Hormone-Biosynthesis,Jasmonates-Biosynthesis	""
RXN-10455	jasmonoyl-isoleucine synthetase	""	|PWY-6233|	jasmonoyl-amino acid conjugates biosynthesis II	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,HORMONE-SYN,Plant-Hormone-Biosynthesis,Jasmonates-Biosynthesis	""
RXN-5004	luteolin-7-O-glucoside 2''-O-beta-L-rhamnosyltransferase	2.4.1.236	|PWY-6239|	luteolin glycosides biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,PHENYLPROPANOID-SYN,FLAVONOID-SYN,FLAVONE-SYN	rxn04635 rxn04641 rxn04644 rxn05078 rxn07812 rxn24030 rxn24427
FLAVONE-7-O-BETA-GLUCOSYLTRANSFERASE-RXN	luteolin 7-O-beta-glucosyltransferase	2.4.1.81	|PWY-6239|	luteolin glycosides biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,PHENYLPROPANOID-SYN,FLAVONOID-SYN,FLAVONE-SYN	rxn02551 rxn02562 rxn19706 rxn24033
RXN-13801	luteolin-7-O-glucoside 1,6-glucosyltransferase	""	|PWY-6239|	luteolin glycosides biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,PHENYLPROPANOID-SYN,FLAVONOID-SYN,FLAVONE-SYN	""
RXN-10468	[thyroglobulin]-3-iodotyrosine synthase	1.11.1.8	|PWY-6241|	thyroid hormone biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,HORMONE-SYN	rxn02022 rxn02295 rxn02779 rxn06409 rxn06542 rxn12163 rxn12164 rxn12165 rxn12166 rxn20940 rxn20942 rxn20944 rxn20946
RXN-10469	[thyroglobulin]-3,5-diiodotyrosine synthase	1.11.1.8	|PWY-6241|	thyroid hormone biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,HORMONE-SYN	rxn02022 rxn02295 rxn02779 rxn06409 rxn06542 rxn12163 rxn12164 rxn12165 rxn12166 rxn20940 rxn20942 rxn20944 rxn20946
RXN-10470	[thyroglobulin]-triiodothyronine synthase	1.11.1.8	|PWY-6241|	thyroid hormone biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,HORMONE-SYN	rxn02022 rxn02295 rxn02779 rxn06409 rxn06542 rxn12163 rxn12164 rxn12165 rxn12166 rxn20940 rxn20942 rxn20944 rxn20946
RXN-10471	[thyroglobulin]-L-thyroxine synthase	1.11.1.8	|PWY-6241|	thyroid hormone biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,HORMONE-SYN	rxn02022 rxn02295 rxn02779 rxn06409 rxn06542 rxn12163 rxn12164 rxn12165 rxn12166 rxn20940 rxn20942 rxn20944 rxn20946
RXN-10474	[thyroglobulin]-3,5,3'-triiodo-L-thyronine hydrolase	""	|PWY-6241|	thyroid hormone biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,HORMONE-SYN	""
RXN-10477	[thyroglobulin]-L-thyroxine hydrolase	""	|PWY-6241|	thyroid hormone biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,HORMONE-SYN	""
RXN-8621	(E)-alpha-bergamotene synthase	4.2.3.81	|PWY-6243|	bergamotene biosynthesis I	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Terpenoid-Biosynthesis,SESQUITERPENOID-SYN,Bergamotene-Biosynthesis	rxn25039
RXN-10481	2-cis,6-cis-farnesyl pyrophosphate synthase	2.5.1.92	|PWY-6244|	bergamotene biosynthesis II	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Terpenoid-Biosynthesis,SESQUITERPENOID-SYN,Bergamotene-Biosynthesis	rxn16477 rxn22282
RXN-10482	endo-alpha-bergamontene synthase	4.2.3.54	|PWY-6244|	bergamotene biosynthesis II	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Terpenoid-Biosynthesis,SESQUITERPENOID-SYN,Bergamotene-Biosynthesis	rxn16449
RXN-10483	endo-beta-bergamontene synthase	4.2.3.53	|PWY-6244|	bergamotene biosynthesis II	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Terpenoid-Biosynthesis,SESQUITERPENOID-SYN,Bergamotene-Biosynthesis	rxn16451
RXN-10567	alpha-santalene synthase	4.2.3.50	|PWY-6254|	santalene biosynthesis I	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Terpenoid-Biosynthesis,SESQUITERPENOID-SYN	rxn16450
RXN-10568	RXN-10568	""	|PWY-6254|	santalene biosynthesis I	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Terpenoid-Biosynthesis,SESQUITERPENOID-SYN	""
RXN-10597	RXN-10597	""	|PWY-6257|	curcumene biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Terpenoid-Biosynthesis,SESQUITERPENOID-SYN	""
RXN-10598	beta-curcumene synthase	""	|PWY-6257|	curcumene biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Terpenoid-Biosynthesis,SESQUITERPENOID-SYN	""
RXN-10599	gamma-curcumene synthase	4.2.3.94	|PWY-6257|	curcumene biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Terpenoid-Biosynthesis,SESQUITERPENOID-SYN	rxn16732
RXN-10600	potchoulol synthase	4.2.3.70	|PWY-6258|	patchoulol biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Terpenoid-Biosynthesis,SESQUITERPENOID-SYN	rxn16471 rxn20955
RXN-10601	beta-patchoulene synthase	""	|PWY-6258|	patchoulol biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Terpenoid-Biosynthesis,SESQUITERPENOID-SYN	""
RXN-10602	gamma-patchoulene synthase	""	|PWY-6258|	patchoulol biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Terpenoid-Biosynthesis,SESQUITERPENOID-SYN	""
RXN-10603	alpha-patchoulene synthase	""	|PWY-6258|	patchoulol biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Terpenoid-Biosynthesis,SESQUITERPENOID-SYN	""
RXN-13522	seychellene synthase	""	|PWY-6258|	patchoulol biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Terpenoid-Biosynthesis,SESQUITERPENOID-SYN	""
THYROXINE-DEIODINASE-RXN	L-thyroxine 5'-deiodinase	1.21.99.4/1.97.1.10	|PWY-6260|	thyroid hormone metabolism I (via deiodination)	Degradation,HORMONE-DEG,Thyroid-Hormone-Metabolism	rxn06466 rxn20959 rxn22336 rxn27329
1.97.1.11-RXN	L-thyroxine 5-deiodinase	1.21.99.3/1.97.1.11	|PWY-6260|	thyroid hormone metabolism I (via deiodination)	Degradation,HORMONE-DEG,Thyroid-Hormone-Metabolism	rxn15663 rxn17371 rxn20962 rxn22332
RXN-10604	3,3',5'-triiodo-L-thyronine 5'-deiodinase	1.21.99.4/1.97.1.10	|PWY-6260|	thyroid hormone metabolism I (via deiodination)	Degradation,HORMONE-DEG,Thyroid-Hormone-Metabolism	rxn06466 rxn20959 rxn22336 rxn27329
RXN-10605	3,5,3'-triodo-L-thyronine 5-deiodinase	1.21.99.3/1.97.1.11	|PWY-6260|	thyroid hormone metabolism I (via deiodination)	Degradation,HORMONE-DEG,Thyroid-Hormone-Metabolism	rxn15663 rxn17371 rxn20962 rxn22332
RXN-12030	3,3'-diiodothyronine 3'-deiodinase	""	|PWY-6260|	thyroid hormone metabolism I (via deiodination)	Degradation,HORMONE-DEG,Thyroid-Hormone-Metabolism	""
RXN-12031	3-momoiodothyronine 3-deiodinase	""	|PWY-6260|	thyroid hormone metabolism I (via deiodination)	Degradation,HORMONE-DEG,Thyroid-Hormone-Metabolism	""
RXN-12032	3,3'-diiodothyronine 3-deiodinase	""	|PWY-6260|	thyroid hormone metabolism I (via deiodination)	Degradation,HORMONE-DEG,Thyroid-Hormone-Metabolism	""
RXN-12033	3'-momoiodothyronine 3'-deiodinase	""	|PWY-6260|	thyroid hormone metabolism I (via deiodination)	Degradation,HORMONE-DEG,Thyroid-Hormone-Metabolism	""
RXN-12034	3,5,3'-triiodo-L-thyronine 3'-deiodinase	""	|PWY-6260|	thyroid hormone metabolism I (via deiodination)	Degradation,HORMONE-DEG,Thyroid-Hormone-Metabolism	""
RXN-12035	3,5-diiodothyronine 5-deiodinase	1.21.99.3/1.97.1.11	|PWY-6260|	thyroid hormone metabolism I (via deiodination)	Degradation,HORMONE-DEG,Thyroid-Hormone-Metabolism	rxn15663 rxn17371 rxn20962 rxn22332
RXN-12036	3,3',5'-triiodo-L-thyronine 3-deiodinase	""	|PWY-6260|	thyroid hormone metabolism I (via deiodination)	Degradation,HORMONE-DEG,Thyroid-Hormone-Metabolism	""
RXN-12037	3',5'-diiodothyronine 5'-deiodinase	1.21.99.4/1.97.1.10	|PWY-6260|	thyroid hormone metabolism I (via deiodination)	Degradation,HORMONE-DEG,Thyroid-Hormone-Metabolism	rxn06466 rxn20959 rxn22336 rxn27329
THYROXINE-DEIODINASE-RXN	L-thyroxine 5'-deiodinase	1.21.99.4/1.97.1.10	|PWY-6261|	thyroid hormone metabolism II (via conjugation and/or degradation)	Degradation,HORMONE-DEG,Thyroid-Hormone-Metabolism	rxn06466 rxn20959 rxn22336 rxn27329
RXN-10606	L-thyroxine phenol UDP-glucuronosyltransferase	2.4.1.17	|PWY-6261|	thyroid hormone metabolism II (via conjugation and/or degradation)	Degradation,HORMONE-DEG,Thyroid-Hormone-Metabolism	rxn01697 rxn01721 rxn01795 rxn01812 rxn02078 rxn02217 rxn03024 rxn03025 rxn03026 rxn03202 rxn04909 rxn05992 rxn11787 rxn11789 rxn11790 rxn11791 rxn14014 rxn14144 rxn15770 rxn16263 rxn16264 rxn16265 rxn20964 rxn20965 rxn20966 rxn20967 rxn20975 rxn20977 rxn20979 rxn20981 rxn21120 rxn21361 rxn25286 rxn26817 rxn26824 rxn26998 rxn27411
RXN-10607	3,5,3'-triiodo-L-thyronine phenol UDP-glucuronosyltransferase	2.4.1.17	|PWY-6261|	thyroid hormone metabolism II (via conjugation and/or degradation)	Degradation,HORMONE-DEG,Thyroid-Hormone-Metabolism	rxn01697 rxn01721 rxn01795 rxn01812 rxn02078 rxn02217 rxn03024 rxn03025 rxn03026 rxn03202 rxn04909 rxn05992 rxn11787 rxn11789 rxn11790 rxn11791 rxn14014 rxn14144 rxn15770 rxn16263 rxn16264 rxn16265 rxn20964 rxn20965 rxn20966 rxn20967 rxn20975 rxn20977 rxn20979 rxn20981 rxn21120 rxn21361 rxn25286 rxn26817 rxn26824 rxn26998 rxn27411
RXN-10608	L-thyroxine acyl UDP-glucuronosyltransferase	2.4.1.17	|PWY-6261|	thyroid hormone metabolism II (via conjugation and/or degradation)	Degradation,HORMONE-DEG,Thyroid-Hormone-Metabolism	rxn01697 rxn01721 rxn01795 rxn01812 rxn02078 rxn02217 rxn03024 rxn03025 rxn03026 rxn03202 rxn04909 rxn05992 rxn11787 rxn11789 rxn11790 rxn11791 rxn14014 rxn14144 rxn15770 rxn16263 rxn16264 rxn16265 rxn20964 rxn20965 rxn20966 rxn20967 rxn20975 rxn20977 rxn20979 rxn20981 rxn21120 rxn21361 rxn25286 rxn26817 rxn26824 rxn26998 rxn27411
RXN-10609	3,5,3'-triiodo-L-thyronine acyl UDP-glucuronosyltransferase	2.4.1.17	|PWY-6261|	thyroid hormone metabolism II (via conjugation and/or degradation)	Degradation,HORMONE-DEG,Thyroid-Hormone-Metabolism	rxn01697 rxn01721 rxn01795 rxn01812 rxn02078 rxn02217 rxn03024 rxn03025 rxn03026 rxn03202 rxn04909 rxn05992 rxn11787 rxn11789 rxn11790 rxn11791 rxn14014 rxn14144 rxn15770 rxn16263 rxn16264 rxn16265 rxn20964 rxn20965 rxn20966 rxn20967 rxn20975 rxn20977 rxn20979 rxn20981 rxn21120 rxn21361 rxn25286 rxn26817 rxn26824 rxn26998 rxn27411
RXN-10610	RXN-10610	""	|PWY-6261|	thyroid hormone metabolism II (via conjugation and/or degradation)	Degradation,HORMONE-DEG,Thyroid-Hormone-Metabolism	""
RXN-10611	RXN-10611	""	|PWY-6261|	thyroid hormone metabolism II (via conjugation and/or degradation)	Degradation,HORMONE-DEG,Thyroid-Hormone-Metabolism	""
RXN-10612	RXN-10612	""	|PWY-6261|	thyroid hormone metabolism II (via conjugation and/or degradation)	Degradation,HORMONE-DEG,Thyroid-Hormone-Metabolism	""
RXN-10613	RXN-10613	""	|PWY-6261|	thyroid hormone metabolism II (via conjugation and/or degradation)	Degradation,HORMONE-DEG,Thyroid-Hormone-Metabolism	""
RXN-10614	L-thyroxine sulfotransferase	2.8.2.1	|PWY-6261|	thyroid hormone metabolism II (via conjugation and/or degradation)	Degradation,HORMONE-DEG,Thyroid-Hormone-Metabolism	rxn05946 rxn19194 rxn20973 rxn20974 rxn21113 rxn21118 rxn21359 rxn21360 rxn27002
RXN-10615	3,5,3'-triiodo-L-thyronine sulfotransferase	2.8.2.1	|PWY-6261|	thyroid hormone metabolism II (via conjugation and/or degradation)	Degradation,HORMONE-DEG,Thyroid-Hormone-Metabolism	rxn05946 rxn19194 rxn20973 rxn20974 rxn21113 rxn21118 rxn21359 rxn21360 rxn27002
RXN-10616	tetraiodothyroacetate phenol UDP-glucuronosyltransferase	2.4.1.17	|PWY-6261|	thyroid hormone metabolism II (via conjugation and/or degradation)	Degradation,HORMONE-DEG,Thyroid-Hormone-Metabolism	rxn01697 rxn01721 rxn01795 rxn01812 rxn02078 rxn02217 rxn03024 rxn03025 rxn03026 rxn03202 rxn04909 rxn05992 rxn11787 rxn11789 rxn11790 rxn11791 rxn14014 rxn14144 rxn15770 rxn16263 rxn16264 rxn16265 rxn20964 rxn20965 rxn20966 rxn20967 rxn20975 rxn20977 rxn20979 rxn20981 rxn21120 rxn21361 rxn25286 rxn26817 rxn26824 rxn26998 rxn27411
RXN-10617	tetraiodothyroacetate acyl UDP-glucuronosyltransferase	2.4.1.17	|PWY-6261|	thyroid hormone metabolism II (via conjugation and/or degradation)	Degradation,HORMONE-DEG,Thyroid-Hormone-Metabolism	rxn01697 rxn01721 rxn01795 rxn01812 rxn02078 rxn02217 rxn03024 rxn03025 rxn03026 rxn03202 rxn04909 rxn05992 rxn11787 rxn11789 rxn11790 rxn11791 rxn14014 rxn14144 rxn15770 rxn16263 rxn16264 rxn16265 rxn20964 rxn20965 rxn20966 rxn20967 rxn20975 rxn20977 rxn20979 rxn20981 rxn21120 rxn21361 rxn25286 rxn26817 rxn26824 rxn26998 rxn27411
RXN-10618	triiodothyroacetate acyl UDP-glucuronosyltransferase	2.4.1.17	|PWY-6261|	thyroid hormone metabolism II (via conjugation and/or degradation)	Degradation,HORMONE-DEG,Thyroid-Hormone-Metabolism	rxn01697 rxn01721 rxn01795 rxn01812 rxn02078 rxn02217 rxn03024 rxn03025 rxn03026 rxn03202 rxn04909 rxn05992 rxn11787 rxn11789 rxn11790 rxn11791 rxn14014 rxn14144 rxn15770 rxn16263 rxn16264 rxn16265 rxn20964 rxn20965 rxn20966 rxn20967 rxn20975 rxn20977 rxn20979 rxn20981 rxn21120 rxn21361 rxn25286 rxn26817 rxn26824 rxn26998 rxn27411
RXN-10619	triiodothyroacetate phenol UDP-glucuronosyltransferase	2.4.1.17	|PWY-6261|	thyroid hormone metabolism II (via conjugation and/or degradation)	Degradation,HORMONE-DEG,Thyroid-Hormone-Metabolism	rxn01697 rxn01721 rxn01795 rxn01812 rxn02078 rxn02217 rxn03024 rxn03025 rxn03026 rxn03202 rxn04909 rxn05992 rxn11787 rxn11789 rxn11790 rxn11791 rxn14014 rxn14144 rxn15770 rxn16263 rxn16264 rxn16265 rxn20964 rxn20965 rxn20966 rxn20967 rxn20975 rxn20977 rxn20979 rxn20981 rxn21120 rxn21361 rxn25286 rxn26817 rxn26824 rxn26998 rxn27411
RXN-10623	RXN-10623	""	|PWY-6262|	demethylmenaquinol-8 biosynthesis II	Biosynthesis,Cofactor-Biosynthesis,Carriers-Biosynthesis,Electron-Carrier-Biosynthesis,Quinone-Biosynthesis,Demethylmenaquinone-Biosynthesis,Demethylmenaquinol-8-Biosynthesis	""
RXN-8415	alpha-humulene synthase	4.2.3.104	|PWY-6265|	zerumbone biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Terpenoid-Biosynthesis,SESQUITERPENOID-SYN	rxn12056
RXN-10628	alpha-humulene 10-hydroxylase	1.14.14.113/1.14.13.150	|PWY-6265|	zerumbone biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Terpenoid-Biosynthesis,SESQUITERPENOID-SYN	rxn16774
RXN-10629	zerumbone synthase	1.1.1.326	|PWY-6265|	zerumbone biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Terpenoid-Biosynthesis,SESQUITERPENOID-SYN	rxn16834
COBALADENOSYLTRANS-RXN	cob(I)alamin adenosyltransferase	""	|PWY-6268|	adenosylcobalamin salvage from cobalamin	Biosynthesis,Cofactor-Biosynthesis,Enzyme-Cofactor-Biosynthesis,Cobalamin-Biosynthesis,Cobamide-Salvage	""
RXN-19334	cob(II)alamin reductase	""	|PWY-6268|	adenosylcobalamin salvage from cobalamin	Biosynthesis,Cofactor-Biosynthesis,Enzyme-Cofactor-Biosynthesis,Cobalamin-Biosynthesis,Cobamide-Salvage	""
RXN-19340	corrinoid adenosyltransferase CobA	""	|PWY-6268|	adenosylcobalamin salvage from cobalamin	Biosynthesis,Cofactor-Biosynthesis,Enzyme-Cofactor-Biosynthesis,Cobalamin-Biosynthesis,Cobamide-Salvage	""
RXN-19341	RXN-19341	""	|PWY-6268|	adenosylcobalamin salvage from cobalamin	Biosynthesis,Cofactor-Biosynthesis,Enzyme-Cofactor-Biosynthesis,Cobalamin-Biosynthesis,Cobamide-Salvage	""
RXN-19366	corrinoid adenosyltransferase CobA	2.5.1.17	|PWY-6268|	adenosylcobalamin salvage from cobalamin	Biosynthesis,Cofactor-Biosynthesis,Enzyme-Cofactor-Biosynthesis,Cobalamin-Biosynthesis,Cobamide-Salvage	rxn01084 rxn03535 rxn05029 rxn08194 rxn10091
RXN-10635	alpha-eudesmol synthase	4.2.3.85	|PWY-6271|	eudesmol biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Terpenoid-Biosynthesis,SESQUITERPENOID-SYN	rxn16630
RXN-10636	beta-eudesmol synthase	4.2.3.68	|PWY-6271|	eudesmol biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Terpenoid-Biosynthesis,SESQUITERPENOID-SYN	rxn16367
RXN-10637	10-epi-gamma-eudesmol synthase	4.2.3.84	|PWY-6271|	eudesmol biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Terpenoid-Biosynthesis,SESQUITERPENOID-SYN	rxn16631
RXN-1382	L-serine-phosphatidylethanolamine phosphatidyltransferase	2.7.8.29	|PWY-6273|	phosphatidylethanolamine biosynthesis III	Biosynthesis,Lipid-Biosynthesis,Phospholipid-Biosynthesis,PhosphatidylethanolamineBiosynthesis	rxn07254 rxn23676 rxn23677 rxn23678 rxn23679 rxn23680 rxn23681 rxn23682 rxn23683 rxn23684 rxn23685 rxn23686 rxn23687 rxn23688 rxn23689 rxn23690 rxn23691 rxn23692 rxn23694 rxn23695 rxn23696 rxn23697 rxn23698 rxn37192 rxn37193
RXN-8414	(E)-beta-caryophyllene synthase	4.2.3.57	|PWY-6275|	&beta;-caryophyllene biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Terpenoid-Biosynthesis,SESQUITERPENOID-SYN	rxn12182
RXN-8415	alpha-humulene synthase	4.2.3.104	|PWY-6275|	&beta;-caryophyllene biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Terpenoid-Biosynthesis,SESQUITERPENOID-SYN	rxn12056
RXN-8432	beta-elemene synthase	""	|PWY-6275|	&beta;-caryophyllene biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Terpenoid-Biosynthesis,SESQUITERPENOID-SYN	""
RXN-10640	presilphiperfolan-8beta-ol synthase	4.2.3.74	|PWY-6278|	botrydial biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Terpenoid-Biosynthesis,SESQUITERPENOID-SYN	rxn16472
RXN-10641	RXN-10641	""	|PWY-6278|	botrydial biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Terpenoid-Biosynthesis,SESQUITERPENOID-SYN	""
RXN-10643	lycopene-1',2'-hydratase	4.2.1.131	|PWY-6279|	myxol-2' fucoside biosynthesis	TETRATERPENOID-SYN,Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Terpenoid-Biosynthesis,CAROTENOID-SYN,C40-Carotenoids-Biosynthesis	rxn07347 rxn07350 rxn07353 rxn07359 rxn07363 rxn07367 rxn07370 rxn07374 rxn16632 rxn23131
RXN-10644	1-hydroxylycopene beta-cyclase	5.5.1.19	|PWY-6279|	myxol-2' fucoside biosynthesis	TETRATERPENOID-SYN,Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Terpenoid-Biosynthesis,CAROTENOID-SYN,C40-Carotenoids-Biosynthesis	rxn03646 rxn04771 rxn07646 rxn11574 rxn11625 rxn22949
RXN-10645	RXN-10645	""	|PWY-6279|	myxol-2' fucoside biosynthesis	TETRATERPENOID-SYN,Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Terpenoid-Biosynthesis,CAROTENOID-SYN,C40-Carotenoids-Biosynthesis	""
RXN-10646	plectaniaxanthin hydroxylase	""	|PWY-6279|	myxol-2' fucoside biosynthesis	TETRATERPENOID-SYN,Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Terpenoid-Biosynthesis,CAROTENOID-SYN,C40-Carotenoids-Biosynthesis	""
RXN-10647	myxol:fucose 2'-O-fucosyl transferase	""	|PWY-6279|	myxol-2' fucoside biosynthesis	TETRATERPENOID-SYN,Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Terpenoid-Biosynthesis,CAROTENOID-SYN,C40-Carotenoids-Biosynthesis	""
RXN-16059	RXN-16059	""	|PWY-6279|	myxol-2' fucoside biosynthesis	TETRATERPENOID-SYN,Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Terpenoid-Biosynthesis,CAROTENOID-SYN,C40-Carotenoids-Biosynthesis	""
RXN-10653	RXN-10653	""	|PWY-6280|	synechoxanthin biosynthesis	TETRATERPENOID-SYN,Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Terpenoid-Biosynthesis,CAROTENOID-SYN,C40-Carotenoids-Biosynthesis	""
RXN-10652	chi,chi-caroten-18-oate hydroxylase	""	|PWY-6280|	synechoxanthin biosynthesis	TETRATERPENOID-SYN,Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Terpenoid-Biosynthesis,CAROTENOID-SYN,C40-Carotenoids-Biosynthesis	""
RXN-10651	RXN-10651	""	|PWY-6280|	synechoxanthin biosynthesis	TETRATERPENOID-SYN,Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Terpenoid-Biosynthesis,CAROTENOID-SYN,C40-Carotenoids-Biosynthesis	""
RXN-10650	renierapurpurin hydroxylase	""	|PWY-6280|	synechoxanthin biosynthesis	TETRATERPENOID-SYN,Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Terpenoid-Biosynthesis,CAROTENOID-SYN,C40-Carotenoids-Biosynthesis	""
RXN-10649	beta,chi-carotene desaturase	1.3.99.40	|PWY-6280|	synechoxanthin biosynthesis	TETRATERPENOID-SYN,Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Terpenoid-Biosynthesis,CAROTENOID-SYN,C40-Carotenoids-Biosynthesis	""
RXN-10648	beta-carotene desaturase	1.3.99.40	|PWY-6280|	synechoxanthin biosynthesis	TETRATERPENOID-SYN,Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Terpenoid-Biosynthesis,CAROTENOID-SYN,C40-Carotenoids-Biosynthesis	""
RXN0-2161	seryl-tRNAsec synthetase	6.1.1.11	|PWY-6281|	L-selenocysteine biosynthesis II (archaea and eukaryotes)	Biosynthesis,Amino-Acid-Biosynthesis,IND-AMINO-ACID-SYN,Selenocysteine-Biosynthesis	rxn06446 rxn09249 rxn11747 rxn26009 rxn27105 rxn31730 rxn38524 rxn38707
RXN-10038	O-phosphoseryl-tRNAsec kinase	2.7.1.164	|PWY-6281|	L-selenocysteine biosynthesis II (archaea and eukaryotes)	Biosynthesis,Amino-Acid-Biosynthesis,IND-AMINO-ACID-SYN,Selenocysteine-Biosynthesis	rxn11751 rxn20823
RXN-10039	selenocysteine synthase	2.9.1.2	|PWY-6281|	L-selenocysteine biosynthesis II (archaea and eukaryotes)	Biosynthesis,Amino-Acid-Biosynthesis,IND-AMINO-ACID-SYN,Selenocysteine-Biosynthesis	rxn11752 rxn20824
2.7.9.3-RXN	selenophosphate synthetase	2.7.9.3	|PWY-6281|	L-selenocysteine biosynthesis II (archaea and eukaryotes)	Biosynthesis,Amino-Acid-Biosynthesis,IND-AMINO-ACID-SYN,Selenocysteine-Biosynthesis	rxn02569 rxn17725
RXN-10661	palmitoleoyl-[acp]:NAD+ oxidoreductase	1.3.1.9	|PWY-6282|	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	Biosynthesis,Lipid-Biosynthesis,Fatty-acid-biosynthesis,Unsaturated-Fatty-Acids-Biosynthesis,Palmitoleate-Biosynthesis	rxn05322 rxn05323 rxn05324 rxn05325 rxn05326 rxn05327 rxn05328 rxn05994 rxn07579 rxn08386 rxn08390 rxn08392 rxn08394 rxn08396 rxn08398 rxn19651 rxn25720 rxn25743 rxn25747 rxn25750 rxn25752 rxn37651
RXN-10660	3-hydroxy cis delta9-hexadecenoyl-[acp] dehydratase	4.2.1.59/4.2.1.58/4.2.1.60/4.2.1.61	|PWY-6282|	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	Biosynthesis,Lipid-Biosynthesis,Fatty-acid-biosynthesis,Unsaturated-Fatty-Acids-Biosynthesis,Palmitoleate-Biosynthesis	rxn05329 rxn05330 rxn05332 rxn05333 rxn05334 rxn05335 rxn06688 rxn06698 rxn07976 rxn07977 rxn07978 rxn07979 rxn07980 rxn07981 rxn18935 rxn18936 rxn18937 rxn19686 rxn21010 rxn21014 rxn21858 rxn21862 rxn25662 rxn25719 rxn26007 rxn38098
