abbreviation	description	formula	subsystem	ecnumber	keggId	keggorthology	cog	seed	metanetx
3HAD6M7	6-methyl-3-hydroxy-heptanoyl-ACP hydro-lyase	6m3hheptACP[c] -> 6mthept2eACP[c] + h2o[c] 	Fatty acid synthesis	4.2.1.59		K01716 K02372	COG0764	rxn05415	MNXR27689
3HAD6M8	6-methyl-3-hydroxy-octanoyl-ACP hydro-lyase	6m3hocACP[c] -> 6mtoct2eACP[c] + h2o[c] 	Fatty acid synthesis	4.2.1.59		K01716 K02372	COG0764	rxn05365	MNXR27639
3HAD7M8	7-methyl-3-hydroxy-octanoyl-ACP hydro-lyase	7m3hocACP[c] -> 7mtoct2eACP[c] + h2o[c] 	Fatty acid synthesis	4.2.1.59		K01716 K02372	COG0764	rxn05390	MNXR27664
3HAD80	 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0)	3hoctACP[c] -> h2o[c] + toct2eACP[c] 	Fatty acid synthesis	4.2.1.59		K00668 K11533 K00665	COG0764	rxn05334	MNXR68178
3HAD8M10	8-methyl-3-hydroxy-decanoyl-ACP hydro-lyase	8m3hdcaACP[c] -> 8mtdec2eACP[c] + h2o[c] 	Fatty acid synthesis	4.2.1.59		K01716 K02372	COG0764	rxn05369	MNXR27643
3HAD8M9	8-methyl-3-hydroxy-nonanoyl-ACP hydro-lyase	8m3hnonACP[c] -> 8mtnon2eACP[c] + h2o[c] 	Fatty acid synthesis	4.2.1.59		K01716 K02372	COG0764	rxn05419	MNXR27693
3HAD9M10	9-methyl-3-hydroxy-decanoyl-ACP hydro-lyase	9m3hdcaACP[c] -> 9mtdec2eACP[c] + h2o[c] 	Fatty acid synthesis	4.2.1.59		K01716 K02372	COG0764	rxn05394	MNXR27668
3OAR100	 3-oxoacyl-[acyl-carrier-protein] reductase (n-C10:0)	3odecACP[c] + h[c] + nadph[c] <=> 3hdecACP[c] + nadp[c] 	Fatty acid synthesis	1.1.1.100		K00059 K11533 K00665	COG1028	rxn05338	MNXR68183
3OAR10M11	10-methyl-3-oxo-undecanoyl-ACPNADP+ oxidoreductase	10m3oundecACP[c] + h[c] + nadph[c] <=> 10m3hundecACP[c] + nadp[c] 	Fatty acid synthesis	1.1.1.100		K00059	COG1028	rxn05422	MNXR27696
3OAR10M12	10-methyl-3-oxo-dodecanoyl-ACPNADP+ oxidoreductase	10m3oddcaACP[c] + h[c] + nadph[c] <=> 10m3hddcaACP[c] + nadp[c] 	Fatty acid synthesis	1.1.1.100		K00059	COG1028	rxn05372	MNXR27646
3OAR11M12	11-methyl-3-oxo-dodecanoyl-ACPNADP+ oxidoreductase	11m3oddcaACP[c] + h[c] + nadph[c] <=> 11m3hddcaACP[c] + nadp[c] 	Fatty acid synthesis	1.1.1.100		K00059	COG1028	rxn05397	MNXR27671
3OAR120	 3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0)	3oddecACP[c] + h[c] + nadph[c] <=> 3hddecACP[c] + nadp[c] 	Fatty acid synthesis	1.1.1.100		K00059 K00667 K00668 K11533	COG1028	rxn05340	MNXR68184
3OAR12M13	12-methyl-3-oxo-tridecanoyl-ACPNADP+ oxidoreductase	12m3otridecACP[c] + h[c] + nadph[c] <=> 12m3htridecACP[c] + nadp[c] 	Fatty acid synthesis	1.1.1.100		K00059	COG1028	rxn05426	MNXR27700
3OAR12M14	12-methyl-3-oxo-tetra-decanoyl-ACPNADP+ oxidoreductase	12m3omyrsACP[c] + h[c] + nadph[c] <=> 12m3hmyrsACP[c] + nadp[c] 	Fatty acid synthesis	1.1.1.100		K00059	COG1028	rxn05376	MNXR27650
3OAR13M14	13-methyl-3-oxo-tetra-decanoyl-ACPNADP+ oxidoreductase	13m3omyrsACP[c] + h[c] + nadph[c] <=> 13m3hmyrsACP[c] + nadp[c] 	Fatty acid synthesis	1.1.1.100		K00059	COG1028	rxn05401	MNXR27675
3OAR140	 3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0)	3omrsACP[c] + h[c] + nadph[c] <=> 3hmrsACP[c] + nadp[c] 	Fatty acid synthesis	1.1.1.100		K00059 K00667 K11533 K00665	COG1028	rxn05342	MNXR68185
3OAR14M15	14-methyl-3-oxo-pentadecanoyl-ACPNADP+ oxidoreductase	14m3opentdecACP[c] + h[c] + nadph[c] <=> 14m3hpentdecACP[c] + nadp[c] 	Fatty acid synthesis	1.1.1.100		K00059	COG1028	rxn05430	MNXR27704
3OAR14M16	14-methyl-3-oxo-hexa-decanoyl-ACPNADP+ oxidoreductase	14m3opalmACP[c] + h[c] + nadph[c] <=> 14m3hpalmACP[c] + nadp[c] 	Fatty acid synthesis	1.1.1.100		K00059	COG1028	rxn05380	MNXR27654
3OAR15M16	15-methyl-3-oxo-hexa-decanoyl-ACPNADP+ oxidoreductase	15m3opalmACP[c] + h[c] + nadph[c] <=> 15m3hpalmACP[c] + nadp[c] 	Fatty acid synthesis	1.1.1.100		K00059	COG1028	rxn05405	MNXR27679
3OAR160	 3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:0)	3opalmACP[c] + h[c] + nadph[c] <=> 3hpalmACP[c] + nadp[c] 	Fatty acid synthesis	1.1.1.100		K00059 K00667 K11533 K00665	COG1028	rxn05336	MNXR68186
3OAR180	 3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:0)	3ooctdACP[c] + h[c] + nadph[c] <=> 3hoctaACP[c] + nadp[c] 	Fatty acid synthesis	1.1.1.100		K00059	COG1028	rxn05461	MNXR27735
3OAR40	 3-oxoacyl-[acyl-carrier-protein] reductase (n-C4:0)	actACP[c] + h[c] + nadph[c] <=> 3haACP[c] + nadp[c] 	Fatty acid synthesis	1.1.1.100		K00059 K00667 K11533 K00665	COG1028	rxn05339	MNXR74285
3OAR4M5	4-methyl-3-oxo-pentanoyl-ACPNADP+ oxidoreductase	4m3opentACP[c] + h[c] + nadph[c] <=> 4m3hpentACP[c] + nadp[c] 	Fatty acid synthesis	1.1.1.100		K00059	COG1028	rxn05410	MNXR27684
3OAR4M6	4-methyl-3-oxo-hexanoyl-ACPNADP+ oxidoreductase	4m3ohexACP[c] + h[c] + nadph[c] <=> 4m3hhexACP[c] + nadp[c] 	Fatty acid synthesis	1.1.1.100		K00059	COG1028	rxn05360	MNXR27634
3OAR5M6	5-methyl-3-oxo-hexanoyl-ACPNADP+ oxidoreductase	5m3ohexACP[c] + h[c] + nadph[c] <=> 5m3hhexACP[c] + nadp[c] 	Fatty acid synthesis	1.1.1.100		K00059	COG1028	rxn05385	MNXR27659
3OAR60	 3-oxoacyl-[acyl-carrier-protein] reductase (n-C6:0)	3ohexACP[c] + h[c] + nadph[c] <=> 3hhexACP[c] + nadp[c] 	Fatty acid synthesis	1.1.1.100		K00059 K00667 K11533 K00665	COG1028	rxn05337	MNXR68190
3OAR6M7	6-methyl-3-oxo-heptanoyl-ACPNADP+ oxidoreductase	6m3oheptACP[c] + h[c] + nadph[c] <=> 6m3hheptACP[c] + nadp[c] 	Fatty acid synthesis	1.1.1.100		K00059	COG1028	rxn05414	MNXR27688
3OAR6M8	6-methyl-3-oxo-octanoyl-ACPNADP+ oxidoreductase	6m3oocACP[c] + h[c] + nadph[c] <=> 6m3hocACP[c] + nadp[c] 	Fatty acid synthesis	1.1.1.100		K00059	COG1028	rxn05364	MNXR27638
3OAR7M8	7-methyl-3-oxo-octanoyl-ACPNADP+ oxidoreductase	7m3oocACP[c] + h[c] + nadph[c] <=> 7m3hocACP[c] + nadp[c] 	Fatty acid synthesis	1.1.1.100		K00059	COG1028	rxn05389	MNXR27663
3OAR80	 3-oxoacyl-[acyl-carrier-protein] reductase (n-C8:0)	3ooctACP[c] + h[c] + nadph[c] <=> 3hoctACP[c] + nadp[c] 	Fatty acid synthesis	1.1.1.100		K00667 K11533 K00665	COG1028	rxn05341	MNXR68191
3OAR8M10	8-methyl-3-oxo-decanoyl-ACPNADP+ oxidoreductase	8m3odcaACP[c] + h[c] + nadph[c] <=> 8m3hdcaACP[c] + nadp[c] 	Fatty acid synthesis	1.1.1.100		K00059	COG1028	rxn05368	MNXR27642
3OAR8M9	8-methyl-3-oxo-nonanoyl-ACPNADP+ oxidoreductase	8m3ononACP[c] + h[c] + nadph[c] <=> 8m3hnonACP[c] + nadp[c] 	Fatty acid synthesis	1.1.1.100		K00059	COG1028	rxn05418	MNXR27692
3OAR9M10	9-methyl-3-oxo-decanoyl-ACPNADP+ oxidoreductase	9m3odcaACP[c] + h[c] + nadph[c] <=> 9m3hdcaACP[c] + nadp[c] 	Fatty acid synthesis	1.1.1.100		K00059	COG1028	rxn05393	MNXR27667
3OAS100	 3-oxoacyl-[acyl-carrier-protein] synthase (n-C10:0)	h[c] + malACP[c] + ocACP[c] -> 3odecACP[c] + ACP[c] + co2[c] 	Fatty acid synthesis	2.3.1.41		K00647 K09458 K00667 K11533 K00665	COG0304	rxn05343	MNXR81380
3OAS10M11	10-methyl-undecanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	10mundecACP[c] + h[c] + malACP[c] -> 12m3otridecACP[c] + ACP[c] + co2[c] 	Fatty acid synthesis	2.3.1.41		K00647	COG0304	rxn05425	MNXR47572
3OAS10M12	10-methyl-dodecanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	10mddcaACP[c] + h[c] + malACP[c] -> 12m3omyrsACP[c] + ACP[c] + co2[c] 	Fatty acid synthesis	2.3.1.41		K00647	COG0304	rxn05375	MNXR47558
3OAS11M12	11-methyl-dodecanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	11mddcaACP[c] + h[c] + malACP[c] -> 13m3omyrsACP[c] + ACP[c] + co2[c] 	Fatty acid synthesis	2.3.1.41		K00647	COG0304	rxn05400	MNXR47565
3OAS120	 3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:0)	dcaACP[c] + h[c] + malACP[c] -> 3oddecACP[c] + ACP[c] + co2[c] 	Fatty acid synthesis	2.3.1.41		K00647 K09458 K00667 K11533 K00665	COG0304	rxn05348	MNXR81381
3OAS12M13	12-methyl-tridecanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	12mtridecACP[c] + h[c] + malACP[c] -> 14m3opentdecACP[c] + ACP[c] + co2[c] 	Fatty acid synthesis	2.3.1.41		K00647	COG0304	rxn05429	MNXR47573
3OAS12M14	12-methyl-tetra-decanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	12mmyrsACP[c] + h[c] + malACP[c] -> 14m3opalmACP[c] + ACP[c] + co2[c] 	Fatty acid synthesis	2.3.1.41		K00647	COG0304	rxn05379	MNXR47559
3OAS13M14	13-methyl-tetra-decanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	13mmyrsACP[c] + h[c] + malACP[c] -> 15m3opalmACP[c] + ACP[c] + co2[c] 	Fatty acid synthesis	2.3.1.41		K00647	COG0304	rxn05404	MNXR47566
3OAS140	 3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:0)	ddcaACP[c] + h[c] + malACP[c] -> 3omrsACP[c] + ACP[c] + co2[c] 	Fatty acid synthesis	2.3.1.41		K00647 K09458 K00667 K11533 K00665	COG0304	rxn05345	MNXR81382
3OAS160	 3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:0)	h[c] + malACP[c] + myrsACP[c] -> 3opalmACP[c] + ACP[c] + co2[c] 	Fatty acid synthesis	2.3.1.41		K00647 K09458 K00667 K00665 K11533	COG0304	rxn05344	MNXR81383
3OAS180	 3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:0)	h[c] + malACP[c] + palmACP[c] -> 3ooctdACP[c] + ACP[c] + co2[c] 	Fatty acid synthesis	2.3.1.41		K10203 K10245 K10246 K00647 K09458 K11533	COG0304	rxn05460	MNXR79893
3OAS2M3	2-methylpropionyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	2mpropACP[c] + h[c] + malACP[c] -> 4m3opentACP[c] + ACP[c] + co2[c] 	Fatty acid synthesis	2.3.1.41		K00647	COG0304	rxn05409	MNXR47568
3OAS3M4	3-methylbutanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	3mbutACP[c] + h[c] + malACP[c] -> 5m3ohexACP[c] + ACP[c] + co2[c] 	Fatty acid synthesis	2.3.1.41		K00647	COG0304	rxn05384	MNXR47561
3OAS4M3O6	4-methyl-3-oxo-hexanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	2mbutACP[c] + h[c] + malACP[c] -> 4m3ohexACP[c] + ACP[c] + co2[c] 	Fatty acid synthesis	2.3.1.41		K00647	COG0304	rxn05359	MNXR47554
3OAS4M5	4-methyl-pentanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	4mpentACP[c] + h[c] + malACP[c] -> 6m3oheptACP[c] + ACP[c] + co2[c] 	Fatty acid synthesis	2.3.1.41		K00647	COG0304	rxn05413	MNXR47569
3OAS4M6	4-methyl-hexanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	4mhexACP[c] + h[c] + malACP[c] -> 6m3oocACP[c] + ACP[c] + co2[c] 	Fatty acid synthesis	2.3.1.41		K00647	COG0304	rxn05363	MNXR47555
3OAS5M6	5-methyl-hexanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	5mhexACP[c] + h[c] + malACP[c] -> 7m3oocACP[c] + ACP[c] + co2[c] 	Fatty acid synthesis	2.3.1.41		K00647	COG0304	rxn05388	MNXR47562
3OAS60	 3-oxoacyl-[acyl-carrier-protein] synthase (n-C6:0)	butACP[c] + h[c] + malACP[c] -> 3ohexACP[c] + ACP[c] + co2[c] 	Fatty acid synthesis	2.3.1.41		K00667 K11533 K00665	COG0304	rxn05346	MNXR81385
3OAS6M7	6-methyl-heptanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	6mheptACP[c] + h[c] + malACP[c] -> 8m3ononACP[c] + ACP[c] + co2[c] 	Fatty acid synthesis	2.3.1.41		K00647	COG0304	rxn05417	MNXR47570
3OAS6M8	6-methyl-octanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	6mocACP[c] + h[c] + malACP[c] -> 8m3odcaACP[c] + ACP[c] + co2[c] 	Fatty acid synthesis	2.3.1.41		K00647	COG0304	rxn05367	MNXR47556
3OAS7M8	7-methyl-octanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	7mocACP[c] + h[c] + malACP[c] -> 9m3odcaACP[c] + ACP[c] + co2[c] 	Fatty acid synthesis	2.3.1.41		K00647	COG0304	rxn05392	MNXR47563
3OAS80	 3-oxoacyl-[acyl-carrier-protein] synthase (n-C8:0)	h[c] + hexACP[c] + malACP[c] -> 3ooctACP[c] + ACP[c] + co2[c] 	Fatty acid synthesis	2.3.1.41		K00647 K09458 K00667 K11533 K00665	COG0304	rxn05350	MNXR81386
3OAS8M10	8-methyl-decanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	8mdcaACP[c] + h[c] + malACP[c] -> 10m3oddcaACP[c] + ACP[c] + co2[c] 	Fatty acid synthesis	2.3.1.41		K00647	COG0304	rxn05371	MNXR47557
3OAS8M9	8-methyl-nonanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	8mnonACP[c] + h[c] + malACP[c] -> 10m3oundecACP[c] + ACP[c] + co2[c] 	Fatty acid synthesis	2.3.1.41		K00647	COG0304	rxn05421	MNXR47571
3OAS9M10	9-methyl-decanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	9mdcaACP[c] + h[c] + malACP[c] -> 11m3oddcaACP[c] + ACP[c] + co2[c] 	Fatty acid synthesis	2.3.1.41		K00647	COG0304	rxn05396	MNXR47564
4HTHRS	 4-Hydroxy-L-threonine synthase	h2o[c] + phthr[c] -> 4hthr[c] + pi[c] 	Vitamin B6 metabolism	4.2.3.1		K01733	COG0498	rxn03446	MNXR239
5GLUP5T1	(5-Glutamyl)-peptide:amino-acid 5-glutamyltransferase	glu_L[c] + HC00955[c] <=> h2o[c] + HC01577[c] 	Glutathione metabolism	2.3.2.2		K00681	COG0405	rxn02791	MNXR74185
5GLUP5T2	(5-Glutamyl)-peptide:amino-acid 5-glutamyltransferase	glu_L[c] + h[c] + HC00955[c] -> co2[c] + h2o[c] + HC01700[c] 	Glutathione metabolism	2.3.2.2		K00681	COG0405	rxn02792	MNXR79647
A5PISO	Arabinose-5-phosphate isomerase	ru5p_D[c] <=> ara5p[c] 	Pentose and glucuronate interconversions	5.3.1.13		K06041	COG0794 COG0517	rxn01117	MNXR300
ACACT1r	Acetyl Coenzyme A C-Acetyltransferase	2.0 accoa[c] <=> aacoa[c] + coa[c] 	Tryptophan metabolism	2.3.1.9	R00238	K00626	COG0183	rxn00178	MNXR95194
ACACT2r	Acetyl-CoA C-acyltransferase (butanoyl-CoA) (r)	accoa[c] + btcoa[c] <=> 3ohcoa[c] + coa[c] 	Fatty acid oxidation	2.3.1.16		K00626 K07508 K07509	COG0183	rxn00874	MNXR343
ACACT3r	Acetyl-CoA C-acyltransferase (hexanoyl-CoA) (r)	accoa[c] + hxcoa[c] <=> 3oocoa[c] + coa[c] 	Fatty acid oxidation	2.3.1.16		K00632 K07513 K07508 K07509	COG0183	rxn03248	MNXR344
ACACT4r	Acetyl-CoA C-acyltransferase (octanoyl-CoA) (r)	accoa[c] + occoa[c] <=> 3odcoa[c] + coa[c] 	Fatty acid oxidation	2.3.1.16		K00632 K07513 K07508 K07509	COG0183	rxn02680	MNXR345
ACACT5r	Acetyl-CoA C-acyltransferase (decanoyl-CoA) (r)	accoa[c] + dcacoa[c] <=> 3oddcoa[c] + coa[c] 	Fatty acid oxidation	2.3.1.16		K00632 K07513 K07508 K07509	COG0183	rxn03243	MNXR346
ACACT6r	Acetyl-CoA C-acyltransferase (dodecanoyl-CoA) (r)	accoa[c] + ddcacoa[c] <=> 3otdcoa[c] + coa[c] 	Fatty acid oxidation	2.3.1.16		K00632 K07513 K07508 K07509	COG0183	rxn06510	MNXR347
ACACT7r	Acetyl-CoA C-acyltransferase (tetradecanoyl-CoA) (r)	accoa[c] + tdcoa[c] <=> 3ohdcoa[c] + coa[c] 	Fatty acid oxidation	2.3.1.16		K00632 K07513 K07508 K07509	COG0183	rxn02804	MNXR348
ACACt2	Acetoacetate Transport via Proton Symport	acac[e] + h[e] <=> acac[c] + h[c] 	Transport, extracellular					rxn05484	MNXR95207
ACCOACL	Acetyl-CoA carbon-dioxide ligase ADP-forming	accoa[c] + btn_co2[c] -> apoC_Lys_btn[c] + malcoa[c] 	Pyruvate metabolism	6.4.1.2		K01962 K01963 K02160	COG0825 COG0777	rxn06673	MNXR48676
ACCOAL	Acetate Coenzyme A Ligase (ADP-Forming)	atp[c] + coa[c] + ppa[c] -> adp[c] + pi[c] + ppcoa[c] 	Propanoate metabolism	6.2.1.13		K01905	COG0365	rxn00669	MNXR95221
ACGAMT	UDP-N-acetylglucosamine:undecaprenylphosphate N-acetylglucosamine -1-phosphate transferase	uacgam[c] + udcpp[c] -> ump[c] + unaga[c] 	Cell wall biosynthesis	2.7.8.33		K02851	COG0472	rxn08040	MNXR81467
ACKr	Acetate kinase	ac[c] + atp[c] <=> actp[c] + adp[c] 	Pyruvate metabolism	2.7.2.1		K00925	COG0282	rxn00225	MNXR390
ACOAAGPAT140	Myristoyl-1-acylglycerol-3-phosphate O-acyltransferase	1tdecg3p[c] + tdcoa[c] -> coa[c] + pa140[c] 	Glycerophospholipid metabolism	2.3.1.51		K00655	COG0204	rxn10212	MNXR94333
ACOAAGPAT160	Palmitoyl-1-acylglycerol-3-phosphate O-acyltransferase	1hdecg3p[c] + pmtcoa[c] -> coa[c] + pa160[c] 	Glycerophospholipid metabolism	2.3.1.51		K00655	COG0204	rxn10211	MNXR94332
ACOAAGPAT180	Stearoyl-1-acylglycerol-3-phosphate O-acyltransferase	1odecg3p[c] + stcoa[c] -> coa[c] + pa180[c] 	Glycerophospholipid metabolism	2.3.1.51		K00655	COG0204	rxn10213	MNXR94334
ACOAAGPATAI15	Anteisopentadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase	1aipdecg3p[c] + aipdcoa[c] -> coa[c] + h[c] + paai15[c] 	Glycerophospholipid metabolism	2.3.1.51		K00655	COG0204	rxn10218	MNXR28675
ACOAAGPATAI17	Anteisoheptadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase	1aihpdecg3p[c] + aihpdcoa[c] -> coa[c] + paai17[c] 	Glycerophospholipid metabolism	2.3.1.51		K00655	COG0204	rxn10214	MNXR28671
ACOAAGPATI14	Isotetradecanoyl-1-acylglycerol-3-phosphate O-acyltransferase	1itdecg3p[c] + itdcoa[c] -> coa[c] + h[c] + pai14[c] 	Glycerophospholipid metabolism	2.3.1.51		K00655	COG0204	rxn10216	MNXR28673
ACOAAGPATI15	Isopentadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase	1ipdecg3p[c] + ipdcoa[c] -> coa[c] + h[c] + pai15[c] 	Glycerophospholipid metabolism	2.3.1.51		K00655	COG0204	rxn10217	MNXR28674
ACOAAGPATI16	Isohexadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase	1ihdecg3p[c] + ihdcoa[c] -> coa[c] + h[c] + pai16[c] 	Glycerophospholipid metabolism	2.3.1.51		K00655	COG0204	rxn10219	MNXR28676
ACOAAGPATI17	Isoheptadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase	1ihpdecg3p[c] + ihpdcoa[c] -> coa[c] + pai17[c] 	Glycerophospholipid metabolism	2.3.1.51		K00655	COG0204	rxn10215	MNXR28672
ACOATA	Acetyl Coenzyme A Acp Transacylase	accoa[c] + ACP[c] <=> acACP[c] + coa[c] 	Fatty acid oxidation	2.3.1.38		K00648 K00665 K00668 K11533	COG0332	rxn05349	MNXR35617
ACONT	Aconitase	cit[c] <=> icit[c] 	Citric acid cycle	4.2.1.3	R01324	K01681 K01682	COG1049 COG1048	rxn00973	MNXR95384
ACONTa	Aconitase (half-reaction A, Citrate hydro-lyase)	cit[c] <=> acon_C[c] + h2o[c] 	Citric acid cycle	4.2.1.3		K01681 K01682	COG1049 COG1048	rxn00974	MNXR443
ACONTb	Aconitase (half-reaction B, Isocitrate hydro-lyase)	acon_C[c] + h2o[c] <=> icit[c] 	Citric acid cycle	4.2.1.3		K01680	COG1049	rxn01388	MNXR30609
ACPS1	Acyl-carrier protein synthase	apoACP[c] + coa[c] -> ACP[c] + h[c] + pap[c] 	CoA synthesis	2.7.8.7		K00997 K06133	COG0736 COG2091	rxn06023	MNXR81542
ACS	Acetyl Coenzyme A Synthetase	ac[c] + atp[c] + coa[c] -> accoa[c] + amp[c] + ppi[c] 	Glycolysis/gluconeogenesis	6.2.1.1	R00235	K01895	COG0365	rxn00175	MNXR95413
ADCL	 4-aminobenzoate synthase	4adcho[c] -> 4abz[c] + h[c] + pyr[c] 	Folate metabolism	4.1.3.38		K02619 K03342	COG0147 COG0115	rxn03841	MNXR467
ADCS	 4-amino-4-deoxychorismate synthase	chor[c] + gln_L[c] -> 4adcho[c] + glu_L[c] 	Folate metabolism	2.6.1.85		K01664 K01665 K03342 K13950	COG0512 COG0147 COG0115	rxn01257	MNXR30623
ADK1	Adenylate Kinase	amp[c] + atp[c] <=> 2.0 adp[c] 	Nucleotide interconversion	2.7.4.3	R00127	K00939	COG0563	rxn00097	MNXR95450
ADK2	Adenylate kinase (Inorganic triphosphate)	amp[c] + pppi[c] <=> adp[c] + ppi[c] 	Nucleotide interconversion	2.7.4.3		K00939	COG0563	rxn10052	MNXR480
ADNCNT3tc	Adenosine Transport Cnt3	adn[e] + h[e] <=> adn[c] + h[c] 	Transport, extracellular					rxn05318	MNXR491
ADPT	Adenine Phosphoribosyltransferase	ade[c] + prpp[c] -> amp[c] + ppi[c] 	Nucleotide salvage pathway	2.4.2.7, 2.4.2.8	R00190	K00759 K00760	COG0503 COG0634	rxn00139	MNXR95482
ADSL1r	Adenylsuccinate lyase	dcamp[c] <=> amp[c] + fum[c] 	Purine synthesis	4.3.2.2	R01083	K01756	COG0015	rxn00800	MNXR95493
ADSL2r	Adenylosuccinate lyase	25aics[c] <=> aicar[c] + fum[c] 	Purine synthesis	4.3.2.2		K01756	COG0015	rxn03136	MNXR95494
ADSS	Adenylosuccinate Synthase	asp_L[c] + gtp[c] + imp[c] -> dcamp[c] + gdp[c] + 2.0 h[c] + pi[c] 	Nucleotide interconversion	6.3.4.4	R01135	K01939	COG0104	rxn00838	MNXR95495
AGMHE	ADP-D-glycero-D-manno-heptose epimerase	adphep_DD[c] -> adphep_LD[c] 	Lipopolysaccharide biosynthesis	5.1.3.20		K03274	COG0451	rxn03511	MNXR74422
AGPAT120	 1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C12:0)	1ddecg3p[c] + ddcaACP[c] -> ACP[c] + pa120[c] 	Glycerophospholipid metabolism	2.3.1.51		K00655	COG0204	rxn08083	MNXR68311
AGPAT140	 1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C14:0)	1tdecg3p[c] + myrsACP[c] -> ACP[c] + pa140[c] 	Glycerophospholipid metabolism	2.3.1.51		K00655	COG0204	rxn08084	MNXR81582
AGPAT141	 1-tetradec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C14:1)	1tdec7eg3p[c] + tdeACP[c] -> ACP[c] + pa141[c] 	Glycerophospholipid metabolism	2.3.1.51		K00655	COG0204	rxn08085	MNXR68313
AGPAT160	 1-hexadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:0)	1hdecg3p[c] + palmACP[c] -> ACP[c] + pa160[c] 	Glycerophospholipid metabolism	2.3.1.51		K00655	COG0204	rxn08086	MNXR81583
AGPAT161	 1-hexadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:1)	1hdec9eg3p[c] + hdeACP[c] -> ACP[c] + pa161[c] 	Glycerophospholipid metabolism	2.3.1.51		K00655	COG0204	rxn08087	MNXR81585
AGPAT180	 1-octadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:0)	1odecg3p[c] + ocdcaACP[c] -> ACP[c] + pa180[c] 	Glycerophospholipid metabolism	2.3.1.51		K00655	COG0204	rxn08088	MNXR81586
AGPAT181	 1-octadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:1)	1odec11eg3p[c] + octeACP[c] -> ACP[c] + pa181[c] 	Glycerophospholipid metabolism	2.3.1.51		K00655	COG0204	rxn08089	MNXR81588
AIHPDCOATA	14-methyl-hexa-decanoyl-ACP[acyl-carrier-protein] transferase	14mpalmACP[c] + coa[c] <=> ACP[c] + aihpdcoa[c] 	Glycerophospholipid metabolism	2.3.1.180		K00648	COG0332	rxn05452	MNXR53361
AIPDCOATA	12-methyl-tetra-decanoyl-ACP[acyl-carrier-protein] transferase	12mmyrsACP[c] + coa[c] <=> ACP[c] + aipdcoa[c] 	Glycerophospholipid metabolism	2.3.1.180		K00648	COG0332	rxn05451	MNXR53360
ALAALA	D-alanine--D-alanine ligase (EC 6.3.2.4)	2.0 ala_D[c] + atp[c] -> adp[c] + alaala[c] + h[c] + pi[c] 	Alanine and aspartate metabolism	6.3.2.4		K01921	COG1181	rxn00851	MNXR614
ALAASP1c	Hydrolysis of L-alanyl-L-aspartate	alaasp[c] + h2o[c] <=> ala_L[c] + asp_L[c] 	Peptide metabolism	3.4.11.23		K07751	COG0260	rxn12633	MNXR63966
