abbreviation,addedBy,biggId,charge,chargedFormula,cheBlId,cheBlId2,description,ehmnId,fullName,hepatonetId,hmdb,inchiString,keggId,lastModified,lmId,met_id,miriam,modifiedBy,neutralFormula,pdmapName,pubChemId,reconMap,smile,synonyms,url
m8mpdol_U,,,-20,C1725H2840N20O620P20,,,"(alpha-D-Mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog",,"(alpha-D-Mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog",,,,,2016-11-22T15:11:58Z,,759,,,,,,m8mpdol_U,,,http://vmh.uni.lu/_api/metabolites/759/?format=pcsv
g1m8mpdol_U,,,-20,C1785H2940N20O670P20,,,"alpha-D-Glucosyl-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog",,"alpha-D-Glucosyl-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog",,,,,2016-11-22T15:11:58Z,,760,,,,,,g1m8mpdol_U,,,http://vmh.uni.lu/_api/metabolites/760/?format=pcsv
g2m8mpdol_L,,,-20,C1900H3128N20O720P20,,,"(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human liver homolog",,"(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human liver homolog",,,,,2016-11-22T15:11:58Z,,761,,,,,,g2m8mpdol_L,,,http://vmh.uni.lu/_api/metabolites/761/?format=pcsv
g2m8mpdol_U,,,-20,C1845H3040N20O720P20,,,"(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog",,"(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog",,,,,2016-11-22T15:11:58Z,,762,,,,,,g2m8mpdol_U,,,http://vmh.uni.lu/_api/metabolites/762/?format=pcsv
m4mpdol_L,,,-20,C1540H2528N20O420P20,CHEBI:37633,,"(alpha-D-Mannosyl)4-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human liver homolog",,"(alpha-D-Mannosyl)4-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human liver homolog",,,,,2016-11-22T15:11:58Z,,763,,,,,,m4mpdol_L,,,http://vmh.uni.lu/_api/metabolites/763/?format=pcsv
m5mpdol_L,,,-20,C1600H2628N20O470P20,,,"(alpha-D-Mannosyl)5-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human liver homolog",,"(alpha-D-Mannosyl)5-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human liver homolog",,,,,2016-11-22T15:11:58Z,,764,,,,,,m5mpdol_L,,,http://vmh.uni.lu/_api/metabolites/764/?format=pcsv
m4mpdol_U,,,-20,C1485H2440N20O420P20,,,"(alpha-D-Mannosyl)4-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog",,"(alpha-D-Mannosyl)4-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog",,,,,2016-11-22T15:11:58Z,,765,,,,,,m4mpdol_U,,,http://vmh.uni.lu/_api/metabolites/765/?format=pcsv
m5mpdol_U,,,-20,C1545H2540N20O470P20,,,"(alpha-D-Mannosyl)5-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog",,"(alpha-D-Mannosyl)5-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog",,,,,2016-11-22T15:11:58Z,,766,,,,,,m5mpdol_U,,,http://vmh.uni.lu/_api/metabolites/766/?format=pcsv
m6mpdol_L,,,-20,C1660H2728N20O520P20,,,"(alpha-D-Mannosyl)6-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human liver homolog",,"(alpha-D-Mannosyl)6-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human liver homolog",,,,,2016-11-22T15:11:58Z,,767,,,,,,m6mpdol_L,,,http://vmh.uni.lu/_api/metabolites/767/?format=pcsv
m6mpdol_U,,,-20,C1605H2640N20O520P20,,,"(alpha-D-Mannosyl)6-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog",,"(alpha-D-Mannosyl)6-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog",,,,,2016-11-22T15:11:58Z,,768,,,,,,m6mpdol_U,,,http://vmh.uni.lu/_api/metabolites/768/?format=pcsv
m7mpdol_L,,,-20,C1720H2828N20O570P20,,,"(alpha-D-Mannosyl)7-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human liver homolog",,"(alpha-D-Mannosyl)7-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human liver homolog",,,,,2016-11-22T15:11:58Z,,769,,,,,,m7mpdol_L,,,http://vmh.uni.lu/_api/metabolites/769/?format=pcsv
m7mpdol_U,,,-20,C1665H2740N20O570P20,,,"(alpha-D-Mannosyl)7-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog",,"(alpha-D-Mannosyl)7-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog",,,,,2016-11-22T15:11:58Z,,770,,,,,,m7mpdol_U,,,http://vmh.uni.lu/_api/metabolites/770/?format=pcsv
2c23dh56dhoxin,,,-1,C9H8NO4,,,"Human Metabolome Database (HMDB): Leucodopachrome is an indolic intermediate in the melanogenesis pathway, the non-enzymatically product of dopaquinone through cyclization in a reaction whose operation is determined by a pH greater than 4 (melanin synthesis in human pigment cell lysates is maximal at pH 6.8). Leucodopachrome participates in redox exchange with dopaquinone to give the eumelanin precursor dopachrome plus dopa. Dopaquinone (the quinone intermediate resulting from tyrosinase-mediated oxidation of tyrosine, monophenol dihydroxyphenylalanine:oxygen oxidoreductase, EC 1.14.18.1) could be a toxic metabolite in melanin biosynthesis. (PMID: 6807981, 1445949, 413870, 11461115, 11171088, 12755639).",,"2-Carboxy-2,3-dihydro-5,6-dihydroxyindole",,HMDB04067,"InChI=1/C9H9NO4/c11-7-2-4-1-6(9(13)14)10-5(4)3-8(7)12/h2-3,6,10-12H,1H2,(H,13,14)/t6-/m0/s1",C05604,2016-12-05T15:48:05Z,,771,,,,,161255,2c23dh56dhoxin,,"2,3-Dihydro-5,6-dihydroxyindole-2-carboxylate, 2-Carboxy-2,3-dihydro-5,6-dihydroxyindole, Cyclodopa",http://vmh.uni.lu/_api/metabolites/771/?format=pcsv
dopaqn,,,0,C9H9NO4,CHEBI:16852,,Human Metabolome Database (HMDB): Dopaquinone is a substrate of enzyme monophenol monooxygenase [EC 1.14.18.1] in tyrosine metabolism pathway (KEGG).,,L-dopaquinone,,HMDB01229,"InChI=1S/C9H9NO4/c10-6(9(13)14)3-5-1-2-7(11)8(12)4-5/h1-2,4,6H,3,10H2,(H,13,14)/t6-/m0/s1",C00822,2016-12-05T15:48:05Z,,772,,,,L-dopaquinone,439316,dopaqn,,O-Dopaquinone,http://vmh.uni.lu/_api/metabolites/772/?format=pcsv
dopasf,,,0,C8H11NO5S,CHEBI:37946,,dopamine 3-O-sulfate,,dopamine 3-O-sulfate,,,"InChI=1S/C8H11NO5S/c9-4-3-6-1-2-7(10)8(5-6)14-15(11,12)13/h1-2,5,10H,3-4,9H2,(H,11,12,13)",C13690,2016-11-22T15:11:58Z,,773,,,,,122136,dopasf,,,http://vmh.uni.lu/_api/metabolites/773/?format=pcsv
orn_D,,,1,C5H13N2O2,CHEBI:16176,,"Human Metabolome Database (HMDB): D-Ornithine is an amino acid produced in the urea cycle by the splitting off of urea from arginine. Ornithine is one of the products of the action of the enzyme arginase on L-arginine, creating urea. Therefore, ornithine is a central part of the urea cycle, which allows for the disposal of excess nitrogen.",,D-ornithinium(1+),,HMDB03374,"InChI=1S/C5H12N2O2/c6-3-1-2-4(7)5(8)9/h4H,1-3,6-7H2,(H,8,9)/p+1/t4-/m1/s1",C00515,2016-12-05T15:48:05Z,,774,,,,,71082,,,"(2R)-2,5-diaminopentanoate, (2R)-2,5-diaminopentanoic acid, (R)-ornithine, Ornithine",http://vmh.uni.lu/_api/metabolites/774/?format=pcsv
5a2opntn,,,0,C5H9NO3,CHEBI:49268,,"Human Metabolome Database (HMDB): 5-Amino-2-oxopentanoic acid is a breakdown product of D-proline. D-proline is first converted to 1-pyrroline-2-carboxylic acid via D-amino acid oxidase, which then spontaneously breaks down into 5-amino-2-oxopentanoic acid.",,5-amino-2-oxopentanoic acid,,HMDB06272,"InChI=1S/C5H9NO3/c6-3-1-2-4(7)5(8)9/h1-3,6H2,(H,8,9)",C01110,2016-12-05T15:48:05Z,,775,,,,,,,,"2-Oxo-5-amino-pentanoate, 2-Oxo-5-amino-pentanoic acid, 2-Oxo-5-aminopentanoate, 2-Oxo-5-aminopentanoic acid, 2-Oxo-5-aminovalerate, 5-Amino-2-oxopentanoate, 5-Amino-2-oxopentanoic acid, alpha-Keto-delta-aminopentanoate, alpha-Keto-delta-aminopentanoic acid",http://vmh.uni.lu/_api/metabolites/775/?format=pcsv
dpcoa,,,-2,C21H33N7O13P2S,CHEBI:15468,,Dephospho-CoA,,Dephospho-CoA,,,"InChI=1S/C21H35N7O13P2S/c1-21(2,16(32)19(33)24-4-3-12(29)23-5-6-44)8-39-43(36,37)41-42(34,35)38-7-11-14(30)15(31)20(40-11)28-10-27-13-17(22)25-9-26-18(13)28/h9-11,14-16,20,30-32,44H,3-8H2,1-2H3,(H,23,29)(H,24,33)(H,34,35)(H,36,37)(H2,22,25,26)/p-2/t11-,14-,15-,16+,20-/m1/s1",C00882,2016-11-22T15:11:58Z,,776,,,,,444485,dpcoa,,,http://vmh.uni.lu/_api/metabolites/776/?format=pcsv
23dpg,,,-5,C3H3O10P2,CHEBI:17720,,"2,3-bisphosphonato-D-glycerate(5-)",,"2,3-bisphosphonato-D-glycerate(5-)",,,"InChI=1S/C3H8O10P2/c4-3(5)2(13-15(9,10)11)1-12-14(6,7)8/h2H,1H2,(H,4,5)(H2,6,7,8)(H2,9,10,11)/p-5/t2-/m1/s1",C01159,2016-11-22T15:11:58Z,,777,,,,"2,3-bisphospho-D-glyceric acid",,23dpg,,,http://vmh.uni.lu/_api/metabolites/777/?format=pcsv
5dpmev,,,-4,C6H10O10P2,CHEBI:15899,,(R)-5-Diphosphomevalonate,,(R)-5-Diphosphomevalonate,,,"InChI=1S/C6H14O10P2/c1-6(9,4-5(7)8)2-3-15-18(13,14)16-17(10,11)12/h9H,2-4H2,1H3,(H,7,8)(H,13,14)(H2,10,11,12)/p-4/t6-/m1/s1",C01143,2016-11-22T15:11:58Z,,778,,,,,439418,5dpmev,,,http://vmh.uni.lu/_api/metabolites/778/?format=pcsv
frdp,,,-3,C15H25O7P2,CHEBI:17407,,Human Metabolome Database (HMDB): Farnesyl pyrophosphate is an intermediate in the HMG-CoA reductase pathway used by organisms in the biosynthesis of terpenes and terpenoids. -- Wikipedia.,,Farnesyl diphosphate,,HMDB00961,"InChI=1S/C15H28O7P2/c1-13(2)7-5-8-14(3)9-6-10-15(4)11-12-21-24(19,20)22-23(16,17)18/h7,9,11H,5-6,8,10,12H2,1-4H3,(H,19,20)(H2,16,17,18)/p-3/b14-9+,15-11+",C00448,2016-12-05T15:48:05Z,,779,,,,,445713,frdp,,"(2E,6E)-Farnesyl diphosphate, (2E,6E)-Farnesyl pyrophosphate, (all-E)-Farnesyl diphosphate, (E,E)-Farnesyl diphosphate, (E,E)-Farnesyl pyrophosphate, 2-trans,6-trans-Farnesyl diphosphate, 2-trans,6-trans-Farnesyl pyrophosphate, All-trans-Farnesyl pyrophosphate, Farnesyl diphosphate, Farnesyl pyrophosphate, Farnesyl-PP, trans-Farnesyl pyrophosphate, trans-trans-Farnesyl diphosphate, trans-trans-Farnesyl pyrophosphate",http://vmh.uni.lu/_api/metabolites/779/?format=pcsv
pro_D,,,0,C5H9NO2,CHEBI:16313,,"Human Metabolome Database (HMDB): D-proline is an isomer of the naturally occurring amino acid, L-Proline. D-amino acids have been found in relatively high abundance in human plasma and saliva (PMID: 16480744). These amino acids may be of bacterial origin, but there is also evidence that they are endogenously produced through amino acid racemase activity. (PMID: 1426150).",,D-proline,,HMDB03411,"InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m1/s1",C00763,2016-12-05T15:48:05Z,,780,,,,,8988,,,"(2R)-pyrrolidine-2-carboxylate, (2R)-pyrrolidine-2-carboxylic acid, (R)-pyrrolidine-2-carboxylate, (R)-pyrrolidine-2-carboxylic acid, D-Prolin, D-Proline, R)-2-Carboxypyrrolidine , R-Proline",http://vmh.uni.lu/_api/metabolites/780/?format=pcsv
1p2cbxl,,,-1,C5H6NO2,CHEBI:17425,,Human Metabolome Database (HMDB): 1-Pyrroline-2-carboxylic acid is a terminal product of D-proline metabolism. Specifically D-proline is converted to 1-Pyrroline-2-carboxylic acid via D-amino acid oxidase. This spontaneously breaks down to 2-oxo-5-amino-valerate.,,1-pyrroline-2-carboxylate,,HMDB06875,"InChI=1S/C5H7NO2/c7-5(8)4-2-1-3-6-4/h1-3H2,(H,7,8)/p-1",C03564,2016-12-05T15:48:05Z,,781,,,,,440046,,,"1-Pyrroline-2-carboxylate, 3,4-Dihydro-2H-pyrrole-5-carboxylate, 3,4-Dihydro-2H-pyrrole-5-carboxylic acid, D1-Pyrroline 2-carboxylate, D1-Pyrroline 2-carboxylic acid, Delta1-Pyrroline 2-carboxylate, Delta1-Pyrroline 2-carboxylic acid",http://vmh.uni.lu/_api/metabolites/781/?format=pcsv
2dr5p,,,-2,C5H9O7P,CHEBI:16132,,2-deoxy-D-ribose 5-phosphate(2-),,2-deoxy-D-ribose 5-phosphate(2-),,,"InChI=1S/C5H11O7P/c6-2-1-4(7)5(8)3-12-13(9,10)11/h2,4-5,7-8H,1,3H2,(H2,9,10,11)/p-2/t4-,5+/m0/s1",C00673,2016-11-22T15:11:58Z,,782,,,,,45934311,2dr5p,,,http://vmh.uni.lu/_api/metabolites/782/?format=pcsv
g3p,,,-2,C3H5O6P,CHEBI:29052,,Glyceraldehyde 3-phosphate,,Glyceraldehyde 3-phosphate,,,"InChI=1S/C3H7O6P/c4-1-3(5)2-9-10(6,7)8/h1,3,5H,2H2,(H2,6,7,8)/p-2",C00661,2016-11-22T15:11:58Z,,783,,,,,729,g3p,,,http://vmh.uni.lu/_api/metabolites/783/?format=pcsv
dtmp,,,-2,C10H13N2O8P,CHEBI:17013,,"Human Metabolome Database (HMDB): 5-Thymidylic acid is a thymine nucleotide. Also known as thymidine monophosphate, and abbreviated TMP, is a nucleotide that is found in DNA. It is an ester of phosphoric acid with the nucleoside thymidine. TMP consists of a phosphate group, esterified to the the pentose sugar deoxyribose moiety, and the nucleobase thymine. In mammalian cells, thymidine deprivation induces chromosome aberrations such as chromatid breaks, chromatid interchanges, and chromosome fragmentation. (PMID 3888175).",,dTMP,,HMDB01227,"InChI=1S/C10H15N2O8P/c1-5-3-12(10(15)11-9(5)14)8-2-6(13)7(20-8)4-19-21(16,17)18/h3,6-8,13H,2,4H2,1H3,(H,11,14,15)(H2,16,17,18)/p-2/t6-,7+,8+/m0/s1",C00364,2016-12-05T15:48:05Z,,784,,,,,9700,dtmp,,"2'-Deoxythymidine 5'-monophosphate, 5'-dTMP, 5'-Thymidylate, 5'-Thymidylic acid, 5'-TMP, 5-Methyl-dUMP, Deoxy TMP, Deoxyribosylthymine monophosphate, Deoxythymidine 5'-monophosphate, Deoxythymidine 5'-phosphate, Deoxythymidine monophosphate, Deoxythymidylate, Deoxythymidylic acid, Deoxythymydilate, Deoxythymydilic acid, dTMP, Thymidine 5'-monophosphate, Thymidine 5'-phosphate, Thymidine 5'-phosphorate, Thymidine 5'-phosphoric acid, Thymidine 5'MP, Thymidine mononucleotide, Thymidine monophosphate, Thymidine phosphate, Thymidine-5'-monophosphorate, Thymidine-5'-monophosphoric acid, Thymidylate, Thymidylic acid",http://vmh.uni.lu/_api/metabolites/784/?format=pcsv
thym,,,0,C5H6N2O2,CHEBI:17821,,"Human Metabolome Database (HMDB): One of the pyrimidine bases of living matter. Derivation: Hydrolysis of deoxyribonucleic acid, from methylcyanoacetylurea by catalytic reduction. Use: Biochemical research. (Hawley's Condensed Chemical Dictionary). Thymine is a pyrimidine nucleobase. As the name implies, thymine may be derived by methylation of uracil at the 5th carbon. Thymine is found in the nucleic acid DNA. In RNA thymine is replaced with uracil in most cases. In DNA, thymine binds to adenine via two hydrogen bonds to assist in stabilizing the nucleic acid structures.",,Thymine,,HMDB00262,"InChI=1S/C5H6N2O2/c1-3-2-6-5(9)7-4(3)8/h2H,1H3,(H2,6,7,8,9)",C00178,2016-12-05T15:48:05Z,,785,,,,,1135,thym,,"2,4-Dihydroxy-5-methylpyrimidine, 4-Hydroxy-5-methylpyrimidin-2(1H)-one, 5-Methyl-1,2,3,4-tetrahydropyrimidine-2,4-dione, 5-Methyl-2,4(1H,3H)-pyrimidinedione, 5-Methyl-2,4-dihydroxypyrimidine, 5-Methylpyrimidine-2,4-dione, 5-Methyluracil, Thymine",http://vmh.uni.lu/_api/metabolites/785/?format=pcsv
eaflatoxin,,,0,C17H12O7,,,"aflatoxin B1 exo-8,9-epoxide",,"aflatoxin B1 exo-8,9-epoxide",,,"InChI=1S/C17H12O7/c1-20-7-4-8-11(12-14-17(23-14)24-16(12)21-8)13-10(7)5-2-3-6(18)9(5)15(19)22-13/h4,12,14,16-17H,2-3H2,1H3/t12-,14-,16+,17+/m1/s1",C19586,2016-11-22T15:11:58Z,,786,,,,,104756,eaflatoxin,,,http://vmh.uni.lu/_api/metabolites/786/?format=pcsv
ebastineoh,,,0,C32H39NO3,,,hydroxylated ebastine,,hydroxylated ebastine,,,,,2016-11-22T15:11:58Z,,787,,,,,,ebastineoh,,,http://vmh.uni.lu/_api/metabolites/787/?format=pcsv
ebastine,,,0,C32H39NO2,CHEBI:211060,,ebastine,,ebastine,,,"InChI=1S/C32H39NO2/c1-32(2,3)28-18-16-25(17-19-28)30(34)15-10-22-33-23-20-29(21-24-33)35-31(26-11-6-4-7-12-26)27-13-8-5-9-14-27/h4-9,11-14,16-19,29,31H,10,15,20-24H2,1-3H3",,2016-11-22T15:11:58Z,,788,,,,,3191,ebastine,,,http://vmh.uni.lu/_api/metabolites/788/?format=pcsv
ecgon,,,-1,C9H14NO3,CHEBI:4743,,"Human Metabolome Database (HMDB): Ecgonine is an organic chemical and tropane alkaloid found naturally in coca leaves. It is has a close structural relation to cocaine: it is both a metabolite and a precursor, and as such, it is a controlled substance, as are all known substances which can be used as precursors to ecgonine itself. Structurally, ecgonine is a cycloheptane derivative with a nitrogen bridge. It is obtained by hydrolysis of cocaine with acids or alkalis, and crystallizes with one molecule of water, the crystals melting at 198-199oC. It is levorotary, and on warming with alkalis gives iso-ecgonine, which is dextrorotary. It is a tertiary base, and has the properties of an acid and an alcohol. It is the carboxylic acid corresponding to tropine, for it yields the same products on oxidation, and by treatment with phosphorus pentachloride is converted into anhydroecgonine, C9H13NO2, which, when heated to 280oC with hydrochloric acid, eliminates carbon dioxide and yields tropidine, C8H13N.(Wikipedia).",,ecgonine,,HMDB06548,"InChI=1/C9H15NO3/c1-10-5-2-3-6(10)8(9(12)13)7(11)4-5/h5-8,11H,2-4H2,1H3,(H,12,13)/t5?,6?,7-,8+/m0/s1",C10858,2016-12-05T15:48:05Z,,789,,,,,443003,ecgon,,"(2R,3S)-3-hydroxy-8-methyl-8-azabicyclo[3.2.1]octane-2-carboxylic acid, 3-b-Hydroxy-2-b-tropanecarboxylic acid, 3-beta-Hydroxy-2-beta-tropanecarboxylic acid, Ekgonin, L-Ecgonine",http://vmh.uni.lu/_api/metabolites/789/?format=pcsv
pecgon,,,-1,C9H14NO3,,,pseudoecgonine,,pseudoecgonine,,,"InChI=1/C9H15NO3/c1-10-5-2-3-6(10)8(9(12)13)7(11)4-5/h5-8,11H,2-4H2,1H3,(H,12,13)/t5?,6?,7-,8-/m0/s1",C12449,2016-11-22T15:11:58Z,,790,,,,,443845,pecgon,,,http://vmh.uni.lu/_api/metabolites/790/?format=pcsv
3hbcoa,,,-4,C25H38N7O18P3S,CHEBI:15453,,(S)-3-hydroxybutanoyl-CoA(4-),,(S)-3-hydroxybutanoyl-CoA(4-),,,"InChI=1S/C25H42N7O18P3S/c1-13(33)8-16(35)54-7-6-27-15(34)4-5-28-23(38)20(37)25(2,3)10-47-53(44,45)50-52(42,43)46-9-14-19(49-51(39,40)41)18(36)24(48-14)32-12-31-17-21(26)29-11-30-22(17)32/h11-14,18-20,24,33,36-37H,4-10H2,1-3H3,(H,27,34)(H,28,38)(H,42,43)(H,44,45)(H2,26,29,30)(H2,39,40,41)/p-4/t13-,14+,18+,19+,20-,24+/m0/s1",C03561,2016-11-22T15:11:58Z,,791,,,,(S)-3-hydroxybutanoyl-CoA,9543037,3hbcoa,,,http://vmh.uni.lu/_api/metabolites/791/?format=pcsv
3hmbcoa,,,-4,C26H40N7O18P3S,CHEBI:15449,,"(2S,3S)-3-hydroxy-2-methylbutanoyl-CoA(4-)",,"(2S,3S)-3-hydroxy-2-methylbutanoyl-CoA(4-)",,,"InChI=1S/C26H44N7O18P3S/c1-13(14(2)34)25(39)55-8-7-28-16(35)5-6-29-23(38)20(37)26(3,4)10-48-54(45,46)51-53(43,44)47-9-15-19(50-52(40,41)42)18(36)24(49-15)33-12-32-17-21(27)30-11-31-22(17)33/h11-15,18-20,24,34,36-37H,5-10H2,1-4H3,(H,28,35)(H,29,38)(H,43,44)(H,45,46)(H2,27,30,31)(H2,40,41,42)/p-4/t13-,14-,15+,18+,19+,20-,24+/m0/s1",C04405,2016-11-22T15:11:58Z,,792,,,,,11966220,3hmbcoa,,,http://vmh.uni.lu/_api/metabolites/792/?format=pcsv
eicostetcrn,,,0,C27H45NO4,,,Eicosatetranoyl carnitine,,Eicosatetranoyl carnitine,,,,,2016-11-22T15:11:58Z,,793,,,,,,eicostetcrn,,,http://vmh.uni.lu/_api/metabolites/793/?format=pcsv
eicostet,,,-1,C20H31O2,,,"Human Metabolome Database (HMDB): Cis-8,11,14,17-Eicosatetraenoic acid is an eicosanoid present in marine lipids, a minor n-3 polyunsaturated fatty acid (PUFA) which is a position isomer of 20:4n-6. n-3 PUFA contained in marine lipids appear to have a protective effect against coronary heart disease and thrombosis. Human platelets metabolize 8,11,14,17-eicosatetraenoic acid primarily into 12-hydroxy-8,10,14,17-eicosatetraenoic acid. The eicosanoids are a diverse family of molecules that have powerful effects on cell function. They are best known as intercellular messengers, having autocrine and paracrine effects following their secretion from the cells that synthesize them. The diversity of possible products that can be synthesized from eicosatrienoic acid is due, in part to the variety of enzymes that can act on it. Studies have placed many, but not all, of these enzymes at or inside the nucleus. In some cases, the nuclear import or export of eicosatrienoic acid-processing enzymes is highly regulated. Furthermore, nuclear receptors that are activated by specific eicosanoids are known to exist. Taken together, these findings indicate that the enzymatic conversion of eicosatrienoic acid to specific signaling molecules can occur in the nucleus, that it is regulated, and that the synthesized products may act within the nucleus. PMID: 3109494, 8142566, 16574479, 15896193, 10037447). Trans fatty acids are characteristically produced during industrial hydrogenation of plant oils.",,eicosatetranoic acid,,HMDB02177,,,2016-12-05T15:48:05Z,,794,,,,,11722594,eicostet,,"8, 11, 14, 17-Icosatetraenoate, 8, 11, 14, 17-Icosatetraenoic acid, 8,11,14,17-Eicosatetraenoate, 8,11,14,17-Eicosatetraenoic acid",http://vmh.uni.lu/_api/metabolites/794/?format=pcsv
elaidcrn,,,0,C25H47NO4,,,Elaidic carnitine,,Elaidic carnitine,,,"InChI=1/C25H47NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h12-13,23H,5-11,14-22H2,1-4H3/b13-12+",,2016-11-22T15:11:58Z,,795,,,,,6441392,elaidcrn,,,http://vmh.uni.lu/_api/metabolites/795/?format=pcsv
elaid,,,-1,C18H33O2,CHEBI:27997,,"Human Metabolome Database (HMDB): Elaidic acid is the major trans fat found in hydrogenated vegetable oils and occurs in small amounts in caprine and bovine milk (very roughly 0.1 % of the fatty acids) [1] and some meats. It is the trans isomer of oleic acid. The name of the elaidinization reaction comes from elaidic acid. Elaidic acid increases CETP activity, which in turn raises VLDL and lowers HDL cholesterol. (Wiki).",,elaidate,,HMDB00573,"InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)/p-1/b10-9+",C00712,2016-12-05T15:48:05Z,,796,,,,,445639,elaid,,"Elaidate, trans-9-Octadecenoic acid, trans-Oleic acid",http://vmh.uni.lu/_api/metabolites/796/?format=pcsv
s2l2n2m2m,,,-2,C84H136N6O62,,,de-Fuc form of PA6 (w/o peptide linkage),,de-Fuc form of PA6 (w/o peptide linkage),,,,,2016-11-22T15:11:58Z,,797,,,,,,s2l2n2m2m,,,http://vmh.uni.lu/_api/metabolites/797/?format=pcsv
s2l2n2m2mn,,,-2,C76H123N5O57,,,"de-Fuc, reducing GlcNAc removed form of PA6 (w/o peptide linkage)",,"de-Fuc, reducing GlcNAc removed form of PA6 (w/o peptide linkage)",,,,,2016-11-22T15:11:58Z,,798,,,,,,s2l2n2m2mn,,,http://vmh.uni.lu/_api/metabolites/798/?format=pcsv
n2m2nm,,,0,C58H97N5O41,,,n2m2nmasn (w/o peptide linkage),,n2m2nmasn (w/o peptide linkage),,,,,2016-11-22T15:11:58Z,,799,,,,,,n2m2nm,,,http://vmh.uni.lu/_api/metabolites/799/?format=pcsv
ksi_deg2,,,-13,C241H384N17O210S12,,,"keratan sulfate I, degradation product 2",,"keratan sulfate I, degradation product 2",,,,,2016-11-22T15:11:58Z,,800,,,,,,ksi_deg2,,,http://vmh.uni.lu/_api/metabolites/800/?format=pcsv
ksi_deg3,,,-13,C233H371N16O205S12,,,"keratan sulfate I, degradation product 3",,"keratan sulfate I, degradation product 3",,,,,2016-11-22T15:11:58Z,,801,,,,,,ksi_deg3,,,http://vmh.uni.lu/_api/metabolites/801/?format=pcsv
g1m8masn,,,0,C76H127N2O60X,,,(alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),,(alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),,,,C05875,2016-11-22T15:11:58Z,,802,,,,,,g1m8masn,,,http://vmh.uni.lu/_api/metabolites/802/?format=pcsv
glc1man,,,0,C12H22O11,,,"glucose-1,3-mannose oligosaccharide",,"glucose-1,3-mannose oligosaccharide",,,"InChI=1S/C12H22O11/c13-1-3-5(15)7(17)8(18)12(22-3)23-10-6(16)4(2-14)21-11(20)9(10)19/h3-20H,1-2H2/t3-,4-,5-,6-,7+,8-,9+,10+,11-,12-/m1/s1",C04147,2016-11-22T15:11:58Z,,803,,,,,440240,glc1man,,,http://vmh.uni.lu/_api/metabolites/803/?format=pcsv
m7masnA,,,0,C64H107N2O50X,,,"(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein)",,"(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein)",,,,,2016-11-22T15:11:58Z,,804,,,,,,m7masnA,,,http://vmh.uni.lu/_api/metabolites/804/?format=pcsv
